OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,Dog,Spayed Female,156.0,Chihuahua Longhair Mix,Brown
Adoption,Dog,Neutered Male,208.0,other,Buff
Return_to_owner,Dog,Spayed Female,312.0,other,other
Adoption,Dog,Neutered Male,31.5,other,Brown Brindle/White
Transfer,Dog,Neutered Male,52.0,other,Tan
Adoption,Dog,Spayed Female,52.0,other,Tricolor
Transfer,Cat,Intact Female,36.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,4.0,Domestic Shorthair Mix,Blue Tabby/White
Adoption,Dog,Neutered Male,52.0,other,White
Transfer,Cat,Intact Female,104.0,Domestic Medium Hair Mix,Blue Tabby
Transfer,Cat,Intact Female,3.0,Domestic Medium Hair Mix,other
Return_to_owner,Dog,Spayed Female,104.0,other,Tan/White
Return_to_owner,Dog,Intact Male,156.0,other,Black
Adoption,Dog,Neutered Male,260.0,other,other
Adoption,Dog,Neutered Male,52.0,other,Brown Brindle/White
Adoption,Cat,Neutered Male,520.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Neutered Male,104.0,Pit Bull Mix,Brown Brindle/White
Return_to_owner,Dog,Intact Male,52.0,other,Tricolor
Died,Cat,Intact Male,2.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Female,3.0,Domestic Shorthair Mix,Blue Tabby
Transfer,Dog,Spayed Female,52.0,Rat Terrier Mix,White/Black
Adoption,Cat,Neutered Male,49.5,other,White
Adoption,Dog,Spayed Female,13.5,other,Tan/Black
Transfer,Dog,Neutered Male,13.5,Pit Bull Mix,Blue/White
Adoption,Dog,Spayed Female,52.0,German Shepherd Mix,Tan/Black
Return_to_owner,Dog,Spayed Female,40.5,other,other
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Spayed Female,104.0,American Bulldog Mix,White/Brown Brindle
Adoption,Dog,Spayed Female,9.0,other,other
Transfer,Dog,Neutered Male,156.0,Beagle Mix,Sable
Adoption,Cat,Neutered Male,520.0,Siamese Mix,other
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Neutered Male,468.0,Chihuahua Longhair Mix,Brown Brindle/White
Return_to_owner,Cat,Neutered Male,104.0,Domestic Longhair Mix,Orange Tabby
Adoption,Cat,Spayed Female,27.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Neutered Male,27.0,German Shepherd Mix,Brown/Black
Adoption,Cat,Spayed Female,676.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Female,52.0,Domestic Medium Hair Mix,Torbie
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Intact Male,364.0,Yorkshire Terrier Mix,Brown/Black
Return_to_owner,Dog,Spayed Female,156.0,other,Tan
Return_to_owner,Dog,Spayed Female,52.0,German Shepherd Mix,Black/White
Adoption,Dog,Neutered Male,416.0,Chihuahua Shorthair Mix,other
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,260.0,Chihuahua Shorthair Mix,Tan
Transfer,Dog,Spayed Female,27.0,other,Black/White
Adoption,Dog,Neutered Male,52.0,other,other
Return_to_owner,Dog,Neutered Male,104.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Neutered Male,49.5,Pit Bull Mix,White/Blue
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Tortie
Transfer,Cat,Intact Female,156.0,Domestic Longhair Mix,Black
Adoption,Dog,Neutered Male,156.0,other,Tricolor
Return_to_owner,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Dog,Spayed Female,45.0,other,Sable
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Tortie
Return_to_owner,Dog,Spayed Female,104.0,Labrador Retriever Mix,Brown
Transfer,Dog,Intact Female,208.0,Shih Tzu Mix,White/Brown
Adoption,Cat,Intact Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Dog,Intact Male,468.0,other,Red
Died,Cat,Intact Female,104.0,Domestic Shorthair Mix,Torbie
Return_to_owner,Dog,Neutered Male,312.0,other,other
Adoption,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,Cat,Neutered Male,520.0,Domestic Shorthair Mix,other
Return_to_owner,Dog,Neutered Male,104.0,Miniature Poodle Mix,White
Euthanasia,Dog,Spayed Female,260.0,other,Black/Tan
Transfer,Dog,Intact Male,4.5,Pit Bull Mix,Brown Brindle
Adoption,Dog,Spayed Female,208.0,other,Tan
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Calico
Adoption,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Black
Transfer,Dog,Spayed Female,13.5,other,other
Adoption,Dog,Spayed Female,104.0,other,Black/Brown
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,208.0,Chihuahua Shorthair Mix,Black/Tan
Adoption,Dog,Spayed Female,104.0,Cairn Terrier Mix,White/Brown
Transfer,Dog,Intact Male,18.0,other,Blue
Return_to_owner,Dog,Spayed Female,52.0,other,Tan/White
Return_to_owner,Dog,Neutered Male,104.0,other,White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Spayed Female,13.5,Chihuahua Shorthair Mix,other
Transfer,Cat,Intact Male,45.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,18.0,other,other
Transfer,Cat,Intact Male,156.0,Domestic Medium Hair Mix,Brown Tabby/White
Return_to_owner,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Spayed Female,52.0,Catahoula Mix,White/Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Calico
Return_to_owner,Dog,Neutered Male,260.0,Labrador Retriever Mix,Black
Transfer,Dog,Intact Female,208.0,other,White/Tan
Return_to_owner,Cat,Spayed Female,884.0,Domestic Shorthair Mix,Calico
Adoption,Dog,Spayed Female,260.0,other,White
Transfer,Dog,Intact Male,9.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Neutered Male,208.0,Miniature Poodle Mix,Black/White
Euthanasia,Cat,Intact Male,18.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,White/Black
Adoption,Dog,Neutered Male,52.0,Australian Shepherd Mix,White
Return_to_owner,Dog,Neutered Male,416.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Spayed Female,52.0,Labrador Retriever Mix,White/Brown
Adoption,Dog,Spayed Female,4.5,Labrador Retriever Mix,Brown/White
Return_to_owner,Dog,Neutered Male,104.0,other,Black/Brown
Transfer,Dog,Neutered Male,104.0,other,White/Brown
Adoption,Cat,Spayed Female,208.0,Domestic Longhair Mix,Blue/White
Transfer,Cat,Spayed Female,9.0,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,Cat,Spayed Female,22.5,Siamese Mix,Lynx Point
Transfer,Dog,Neutered Male,27.0,other,Tan
Transfer,Cat,Intact Female,4.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,260.0,other,other
Transfer,Dog,Neutered Male,156.0,other,White
Return_to_owner,Dog,Spayed Female,52.0,other,Brown/Black
Adoption,Dog,Neutered Male,52.0,Siberian Husky Mix,Black/Tan
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Blue Tabby
Adoption,Cat,Neutered Male,22.5,other,Seal Point
Transfer,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Spayed Female,104.0,Border Collie Mix,Chocolate/White
Transfer,Cat,Spayed Female,468.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Spayed Female,9.0,Domestic Medium Hair Mix,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,208.0,Labrador Retriever Mix,Black
Adoption,Dog,Spayed Female,364.0,other,other
Adoption,Dog,Neutered Male,52.0,other,Yellow
Return_to_owner,Cat,Spayed Female,624.0,Domestic Shorthair,Calico
Transfer,Dog,Neutered Male,208.0,other,Tricolor
Adoption,Dog,Spayed Female,104.0,other,White
Euthanasia,Cat,Intact Male,52.0,Domestic Shorthair,other
Return_to_owner,Dog,Neutered Male,104.0,other,Brown/White
Adoption,Dog,Neutered Male,52.0,Pit Bull Mix,Blue
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,other
Transfer,Dog,Intact Male,104.0,other,other
Transfer,Dog,Intact Male,0.2857142857142857,Pit Bull Mix,Blue/White
Adoption,Dog,Neutered Male,22.5,other,Black/Tan
Transfer,Cat,Spayed Female,13.5,Domestic Shorthair Mix,White/Black
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Blue
Transfer,Cat,Intact Female,45.0,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Dog,Neutered Male,9.0,other,Tan
Return_to_owner,Dog,Neutered Male,364.0,Dachshund Mix,Tan/White
Transfer,Dog,Neutered Male,208.0,other,Black/Tan
Transfer,Dog,Intact Male,22.5,Chihuahua Shorthair Mix,Tan/White
Transfer,Cat,Intact Male,4.0,Domestic Shorthair Mix,Black
Transfer,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Neutered Male,9.0,Dachshund Mix,Red
Return_to_owner,Dog,Neutered Male,728.0,Pit Bull Mix,White/Brown Brindle
Euthanasia,Dog,Spayed Female,208.0,Pit Bull Mix,White
Transfer,Dog,Intact Female,3.0,other,Black/White
Return_to_owner,Dog,Neutered Male,208.0,Shih Tzu Mix,other
Adoption,Dog,Spayed Female,40.5,other,Black/White
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Black
Adoption,Cat,Intact Female,4.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Intact Male,4.5,Jack Russell Terrier Mix,Tan
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Cat,Intact Male,104.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,156.0,other,other
Transfer,Dog,Neutered Male,312.0,other,White/Black
Transfer,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Tortie
Return_to_owner,Dog,Spayed Female,52.0,Labrador Retriever Mix,Brown
Adoption,Cat,Neutered Male,22.5,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Female,40.5,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Neutered Male,52.0,Labrador Retriever Mix,Black
Adoption,Cat,Spayed Female,624.0,Domestic Shorthair Mix,Tortie
Transfer,Dog,Intact Female,104.0,other,White/Tan
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Spayed Female,260.0,other,Chocolate
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Tan/White
Adoption,Dog,Spayed Female,9.0,other,other
Adoption,Dog,Spayed Female,9.0,Cairn Terrier Mix,Tan
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,other
Transfer,Cat,Intact Female,22.5,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Spayed Female,52.0,other,Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Calico
Return_to_owner,Dog,Intact Female,208.0,Labrador Retriever Mix,Chocolate
Return_to_owner,Dog,Neutered Male,208.0,Labrador Retriever Mix,Chocolate
Adoption,Cat,Neutered Male,4.5,Domestic Shorthair Mix,Blue Tabby
Transfer,Dog,Spayed Female,104.0,other,Sable
Transfer,Dog,Spayed Female,27.0,other,other
Adoption,Cat,Spayed Female,49.5,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,416.0,Chihuahua Shorthair Mix,other
Adoption,Cat,Spayed Female,18.0,Domestic Shorthair Mix,Calico
Transfer,Dog,Intact Female,13.5,Pit Bull Mix,Brown/White
Transfer,Cat,Neutered Male,52.0,Domestic Shorthair Mix,Chocolate/White
Adoption,Dog,Neutered Male,104.0,Pit Bull Mix,Chocolate/White
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Orange Tabby
Euthanasia,Dog,Neutered Male,312.0,Pit Bull Mix,Blue/White
Return_to_owner,Dog,Spayed Female,312.0,other,White/Tan
Return_to_owner,Dog,Neutered Male,52.0,other,other
Adoption,Dog,Neutered Male,104.0,Pit Bull Mix,Fawn/White
Adoption,Cat,Intact Female,4.5,Domestic Longhair Mix,Blue/White
Adoption,Dog,Neutered Male,13.5,other,Black/Brown
Euthanasia,Dog,Intact Male,104.0,Chihuahua Shorthair Mix,White/Tan
Return_to_owner,Dog,Spayed Female,104.0,Pit Bull Mix,Red/White
Return_to_owner,Dog,Intact Female,728.0,other,Buff
Transfer,Dog,Neutered Male,156.0,other,Tan/White
Return_to_owner,Dog,Neutered Male,104.0,Cairn Terrier Mix,Tan
Adoption,Dog,Neutered Male,49.5,other,Brown/White
Transfer,Cat,Spayed Female,624.0,Domestic Medium Hair Mix,Blue Tabby
Transfer,Dog,Intact Female,4.0,Chihuahua Shorthair Mix,Black
Adoption,Dog,Spayed Female,52.0,Chihuahua Shorthair Mix,Brown/White
Adoption,Dog,Neutered Male,104.0,other,Black/Tan
Transfer,Dog,Intact Female,156.0,Miniature Poodle Mix,Black/White
Transfer,Cat,Intact Female,27.0,Siamese Mix,Seal Point
Adoption,Dog,Neutered Male,104.0,other,Black/Tan
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Cream Tabby
Transfer,Dog,Intact Female,156.0,other,Black/Tan
Transfer,Dog,Neutered Male,208.0,Shih Tzu Mix,White/Tan
Adoption,Cat,Spayed Female,9.0,Domestic Medium Hair Mix,other
Adoption,Dog,Spayed Female,52.0,Pit Bull Mix,Black/White
Adoption,Dog,Spayed Female,52.0,other,White
Adoption,Dog,Spayed Female,104.0,Miniature Poodle Mix,White
Adoption,Dog,Neutered Male,52.0,Pit Bull Mix,Brown Brindle
Adoption,Dog,Spayed Female,45.0,Chihuahua Longhair Mix,Buff
Transfer,Cat,Spayed Female,780.0,Domestic Shorthair Mix,Tortie
Transfer,Cat,Spayed Female,208.0,Domestic Medium Hair Mix,Brown Tabby
Transfer,Dog,Neutered Male,31.5,Labrador Retriever Mix,Tan/White
Adoption,Cat,Spayed Female,208.0,Domestic Shorthair Mix,Black
Adoption,Dog,Neutered Male,156.0,Shih Tzu Mix,White
Transfer,Dog,Spayed Female,104.0,other,Black/Tan
Adoption,Dog,Spayed Female,104.0,other,Brown/Black
Euthanasia,Cat,Spayed Female,104.0,Domestic Shorthair Mix,Brown Tabby
Euthanasia,Cat,Intact Male,4.5,Domestic Shorthair Mix,Black
Return_to_owner,Dog,Neutered Male,156.0,other,Black
Adoption,Dog,Spayed Female,4.5,Catahoula Mix,other
Adoption,Dog,Spayed Female,52.0,other,other
Adoption,Dog,Neutered Male,156.0,Border Collie Mix,Black/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Tortie
Adoption,Cat,Neutered Male,13.5,Domestic Shorthair Mix,Blue Tabby
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,other
Adoption,Dog,Neutered Male,4.5,other,Black/White
Transfer,Cat,Neutered Male,416.0,Domestic Shorthair Mix,Orange Tabby
Transfer,Cat,Intact Male,156.0,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,Dog,Intact Male,52.0,Rottweiler Mix,Black/Brown
Adoption,Dog,Spayed Female,468.0,other,Black
Adoption,Dog,Neutered Male,416.0,other,Brown/Black
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,White/Black
Return_to_owner,Dog,Spayed Female,416.0,other,Tan/Black
Transfer,Cat,Neutered Male,104.0,other,Brown Tabby
Return_to_owner,Dog,Neutered Male,104.0,other,Black/Tan
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Tan
Transfer,Dog,Intact Male,260.0,other,Black/Brown
Transfer,Dog,Intact Male,4.5,other,other
Adoption,Cat,Spayed Female,156.0,Domestic Shorthair Mix,Tortie
Return_to_owner,Dog,Neutered Male,156.0,other,Sable
Transfer,Dog,Neutered Male,208.0,Miniature Poodle Mix,White
Transfer,Cat,Intact Female,104.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,13.5,Domestic Longhair Mix,Calico
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Transfer,Cat,Intact Male,0.42857142857142855,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Intact Female,52.0,other,Black/Tan
Adoption,Dog,Spayed Female,260.0,other,Black/Brown
Return_to_owner,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Tan
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,White/Brown
Adoption,Dog,Spayed Female,31.5,other,Black/White
Transfer,Dog,Neutered Male,104.0,other,Red/White
Adoption,Dog,Spayed Female,104.0,other,other
Transfer,Cat,Neutered Male,104.0,Domestic Shorthair Mix,Orange Tabby/White
Adoption,Dog,Spayed Female,52.0,other,Brown/White
Transfer,Dog,Intact Male,104.0,Australian Cattle Dog Mix,Yellow
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Brown Tabby
Return_to_owner,Dog,Intact Male,52.0,other,other
Adoption,Cat,Spayed Female,9.0,Domestic Longhair Mix,Black
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,156.0,other,Black/Tan
Transfer,Dog,Neutered Male,52.0,Pit Bull Mix,Blue/White
Return_to_owner,Dog,Spayed Female,468.0,Chihuahua Shorthair Mix,Tan
Euthanasia,Cat,Neutered Male,520.0,Domestic Longhair Mix,other
Transfer,Dog,Intact Male,45.0,Pit Bull Mix,Black/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Blue/White
Transfer,Dog,Intact Male,52.0,Chihuahua Shorthair Mix,Black/Tan
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Blue
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Dog,Neutered Male,104.0,other,Black/White
Transfer,Dog,Intact Female,3.0,Pit Bull Mix,White
Adoption,Dog,Spayed Female,9.0,Labrador Retriever Mix,Black/White
Transfer,Cat,Intact Female,27.0,Domestic Shorthair Mix,other
Adoption,Dog,Neutered Male,52.0,other,White/Brown
Euthanasia,Dog,Neutered Male,676.0,Chihuahua Shorthair Mix,White/Brown Brindle
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Torbie
Return_to_owner,Dog,Intact Male,104.0,other,White
Transfer,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Intact Female,4.0,Domestic Shorthair Mix,Brown Tabby
Transfer,Dog,Spayed Female,312.0,Pit Bull Mix,Chocolate/White
Adoption,Dog,Spayed Female,13.5,Cairn Terrier Mix,Brown/White
Euthanasia,Cat,Intact Male,4.5,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,Dog,Spayed Female,104.0,Pit Bull Mix,other
Euthanasia,Dog,Intact Female,520.0,Chihuahua Shorthair Mix,Black/White
Return_to_owner,Dog,Spayed Female,208.0,other,White/Tan
Transfer,Cat,Neutered Male,728.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,other
Euthanasia,Dog,Intact Male,104.0,American Bulldog Mix,Brown/White
Adoption,Dog,Spayed Female,52.0,Pit Bull Mix,White
Transfer,Dog,Intact Male,13.5,other,Brown Brindle
Transfer,Cat,Neutered Male,312.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Spayed Female,18.0,Pit Bull Mix,Brown/White
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair,Tortie
Adoption,Cat,Neutered Male,4.5,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,Tricolor
Return_to_owner,Dog,Spayed Female,52.0,other,other
Transfer,Cat,Intact Male,52.0,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Cat,Intact Female,45.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,52.0,Catahoula Mix,other
Transfer,Cat,Intact Male,2.0,Domestic Shorthair Mix,other
Return_to_owner,Dog,Intact Male,22.5,other,other
Transfer,Dog,Intact Female,468.0,Chihuahua Shorthair Mix,Tan
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair,Brown Tabby/White
Return_to_owner,Dog,Spayed Female,728.0,other,Black/Brown
Adoption,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Tortie
Adoption,Dog,Spayed Female,36.0,Pit Bull Mix,Blue/White
Adoption,Dog,Neutered Male,104.0,Chihuahua Shorthair Mix,other
Adoption,Dog,Neutered Male,18.0,other,Black/White
Return_to_owner,Cat,Spayed Female,52.0,Domestic Shorthair Mix,other
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Blue
Adoption,Dog,Spayed Female,156.0,other,Brown/Black
Adoption,Cat,Spayed Female,18.0,Domestic Medium Hair Mix,Blue
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,Tricolor
Transfer,Dog,Spayed Female,9.0,other,Tricolor
Adoption,Dog,Neutered Male,27.0,other,other
Euthanasia,Cat,Neutered Male,676.0,Domestic Shorthair Mix,other
Transfer,Dog,Neutered Male,52.0,Beagle Mix,other
Adoption,Dog,Neutered Male,52.0,Australian Shepherd Mix,Brown/Black
Transfer,Cat,Spayed Female,520.0,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,Dog,Spayed Female,4.5,Jack Russell Terrier Mix,Black/White
Return_to_owner,Dog,Spayed Female,104.0,German Shepherd Mix,other
Return_to_owner,Dog,Spayed Female,312.0,Shih Tzu Mix,other
Transfer,Cat,Neutered Male,260.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Spayed Female,52.0,other,Tricolor
Adoption,Cat,Spayed Female,45.0,Domestic Shorthair Mix,other
Adoption,Dog,Neutered Male,52.0,Australian Shepherd Mix,other
Transfer,Dog,Neutered Male,52.0,other,other
Transfer,Cat,Intact Female,2.0,Domestic Shorthair Mix,Blue Tabby/White
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Black
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,22.5,Domestic Medium Hair Mix,Calico
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Brown/White
Adoption,Cat,Spayed Female,27.0,other,Black
Return_to_owner,Dog,Neutered Male,104.0,Australian Cattle Dog Mix,Tan/White
Adoption,Dog,Neutered Male,36.0,Labrador Retriever Mix,Black/White
Adoption,Dog,Intact Female,9.0,other,other
Transfer,Cat,Neutered Male,45.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,104.0,Domestic Medium Hair Mix,Calico
Transfer,Cat,Intact Female,52.0,Domestic Shorthair Mix,Calico
Transfer,Cat,Neutered Male,22.5,Domestic Shorthair Mix,Brown Tabby
Transfer,Cat,Intact Male,3.0,Domestic Shorthair Mix,Blue Tabby
Transfer,Dog,Neutered Male,104.0,other,White/Tan
Return_to_owner,Dog,Neutered Male,18.0,other,Brown Brindle
Return_to_owner,Dog,Neutered Male,312.0,other,Brown
Adoption,Dog,Neutered Male,364.0,Rottweiler Mix,Black/Tan
Adoption,Cat,Neutered Male,18.0,Domestic Shorthair Mix,Black
Adoption,Cat,Neutered Male,156.0,Domestic Shorthair Mix,Blue/White
Adoption,Cat,Spayed Female,156.0,other,other
Transfer,Cat,Intact Male,1.0,Domestic Shorthair Mix,other
Adoption,Dog,Spayed Female,9.0,other,Tricolor
Return_to_owner,Dog,Intact Male,104.0,other,Tricolor
Transfer,Dog,Intact Female,4.5,other,Tricolor
Transfer,Dog,Intact Female,156.0,Chihuahua Shorthair Mix,Tan
Return_to_owner,Dog,Intact Female,104.0,Pit Bull Mix,Blue/White
Adoption,Dog,Neutered Male,156.0,other,Red/White
Return_to_owner,Dog,Intact Male,312.0,other,Red
Transfer,Dog,Intact Female,52.0,other,Tricolor
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair Mix,Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Adoption,Dog,Neutered Male,104.0,Border Collie Mix,Sable
Adoption,Cat,Neutered Male,9.0,Domestic Medium Hair Mix,Black
Euthanasia,Cat,Neutered Male,260.0,Domestic Shorthair Mix,Orange Tabby
Adoption,Cat,Neutered Male,260.0,Domestic Longhair Mix,Black
Transfer,Dog,Neutered Male,260.0,other,Red/White
Adoption,Dog,Neutered Male,9.0,Catahoula Mix,Brown Brindle/White
Adoption,Cat,Spayed Female,4.5,Domestic Shorthair Mix,Black
Adoption,Dog,Spayed Female,104.0,other,other
Transfer,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,Tan/White
Transfer,Cat,Intact Male,13.5,Domestic Shorthair Mix,Blue Tabby/White
Adoption,Cat,Neutered Male,9.0,Domestic Shorthair,Black
Adoption,Cat,Spayed Female,9.0,Domestic Medium Hair Mix,Torbie
Transfer,Dog,Intact Male,52.0,Chihuahua Shorthair Mix,Tan
Transfer,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby
Adoption,Cat,Spayed Female,13.5,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Intact Male,9.0,Chihuahua Shorthair Mix,other
Adoption,Dog,Spayed Female,104.0,Chihuahua Shorthair Mix,White/Tan
Transfer,Dog,Spayed Female,52.0,Miniature Schnauzer Mix,other
Transfer,Cat,Intact Female,4.0,Domestic Shorthair Mix,Torbie
Adoption,Dog,Neutered Male,52.0,Chihuahua Shorthair Mix,other
Transfer,Cat,Spayed Female,52.0,Domestic Shorthair Mix,Torbie
Adoption,Dog,Spayed Female,104.0,other,Tan
Adoption,Dog,Spayed Female,45.0,other,other
Return_to_owner,Dog,Neutered Male,156.0,Labrador Retriever Mix,Black
Transfer,Dog,Spayed Female,52.0,Pit Bull Mix,Blue/White
Transfer,Dog,Spayed Female,27.0,other,White/Black
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Black/White
Return_to_owner,Dog,Intact Male,416.0,Pit Bull Mix,Blue/White
Transfer,Dog,Intact Female,52.0,other,Black/White
Adoption,Dog,Neutered Male,260.0,other,Tan
Adoption,Cat,Spayed Female,9.0,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Cat,Intact Male,22.5,other,Brown Tabby
Transfer,Cat,Spayed Female,416.0,Domestic Longhair Mix,Orange Tabby
Adoption,Dog,Spayed Female,312.0,Pit Bull Mix,White/Brown Brindle
Adoption,Dog,Neutered Male,104.0,other,Brown Brindle
Transfer,Cat,Intact Female,4.5,Domestic Shorthair Mix,Black
